This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Other,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,No Opinion,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Other,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Somewhat,Disagree Somewhat,Yes,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,No Opinion,Registry,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Other,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,No,Very,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Retaliate,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
No Opinion,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Neither Agree or Disagree,Disagree Strongly,Neither Agree or Disagree,No,No,Somewhat,"Should be, but not",Neither Agree or Disagree,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
