VID,AdvNet,AnonPaymnt,AttSpam,ChildPriv,IPResell,DirMark,Card#Stolen,Unlisted#Phone,ConcerSec,ConcerSecEcom,InfImprovSite,IntPrivLaws,IntShop#LifeEasy,MassMails,AssumeAliases,SpamPolicy,PrivCom,SecAFactor,UseDemoOther,UserContDemo,ValueAnon,Important,Will#Charge
1,DSTRON,NEITHER,Delete,ASOME,DSTRON,DSTRON,No,No,Somewhat,Very,DSTRON,ASOME,Yes,DSTRON,ASOME,GovControl,ASTRON,Small,DSTRON,ASTRON,ASOME,Privacy,Yes
2,DSTRON,NEITHER,Delete,ASTRON,DSOME,DSOME,No,No,Very,Very,ASOME,ASTRON,Yes,DSTRON,ASOME,Other,ASTRON,Significant,DSOME,ASTRON,ASOME,Privacy,Yes
3,DSTRON,?,Delete,ASOME,DSTRON,DSTRON,No,No,Somewhat,Very,DSTRON,ASTRON,Yes,DSTRON,?,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
4,DSTRON,?,Delete,ASTRON,DSTRON,DSTRON,No,No,Very,Very,ASOME,ASTRON,Yes,DSTRON,ASOME,Other,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,No
5,DSTRON,?,Delete,ASTRON,DSOME,DSOME,Yes,No,Very,Very,ASOME,ASTRON,Yes,DSOME,?,Registry,ASTRON,Deciding,DSOME,ASTRON,ASTRON,Privacy,No
6,DSTRON,ASTRON,Other,NEITHER,DSOME,DSTRON,No,No,Very,Somewhat,ASOME,ASOME,Yes,DSTRON,ASOME,GovControl,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
7,DSTRON,NEITHER,Retaliate,ASTRON,DSTRON,DSTRON,No,No,Very,Very,NEITHER,ASTRON,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
8,?,ASOME,Delete,ASTRON,DSTRON,DSOME,No,Yes,Very,Very,NEITHER,ASTRON,No,DSTRON,NEITHER,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
9,DSTRON,NEITHER,Delete,NEITHER,DSTRON,NEITHER,No,No,Somewhat,ShouldButNo,NEITHER,DSTRON,Yes,DSTRON,ASTRON,Other,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Convenience,Yes
10,DSTRON,ASTRON,Delete,DSTRON,DSTRON,ASOME,No,No,Very,Very,ASOME,ASTRON,Yes,DSOME,ASTRON,Fee,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
